"","Year","GeoFIPS","american_indian_alaska_native","asian","black","female","hawaiian_other","hisp","male","med_income","not_cit","other_race","two_more","white","percent_manuf","County.Name","Deaths","Population","Crude.Rate","unemployment_rate"
"4004",2005,30031,0.0100589350424926,0.00922069045561817,0.0041783268638046,0.476084237132946,0,NA,0.523915762867054,45987,0.962794836413345,0.00862747120952246,0.00996866254852147,0.957945913880041,NA,NA,NA,NA,NA,NA
"4005",2006,30031,0.00693467705441337,0.0100289862162592,0.00080721108569891,0.473319227523452,0,NA,0.526680772476548,47532,0.957437960935876,0.0193119137017967,0.0145297995425804,0.948387412399252,NA,NA,NA,NA,NA,NA
"4006",2007,30031,0.0107394287251693,0.00854221783776512,0.00438321151517869,0.482825882247433,0.000246625711851486,NA,0.517174117752567,51096,0.966436482668939,0.0137213577866463,0.0115914084570199,0.950775749966369,NA,NA,NA,NA,NA,NA
"4007",2008,30031,0.00853024806353564,0.0121035831399593,0.00376943273305662,0.490058938240132,0.00271268425008988,NA,0.509941061759868,53081,0.960410061988648,0.0102842326589753,0.0148707389613361,0.947729080193047,NA,NA,NA,NA,NA,NA
"4008",2009,30031,0.0166698028624243,0.0115670278826251,0.000741618055632423,0.486058687446731,0,NA,0.513941312553269,45607,0.956853325658878,0.00824635002158441,0.0136701238612842,0.94910507731645,0.0342224672800279,"Gallatin County, MT",12,89187,"Unreliable",7.2
"4009",2010,30031,0.0050859934417453,0.0107519685917598,0.00103727497825069,0.481574427268063,0.00190724754065449,NA,0.518425572731937,49506,0.956791362733944,0.00253184322648286,0.018581721653394,0.960103950567713,NA,NA,NA,NA,NA,NA
"4010",2011,30031,0.0171268481127636,0.00967420685730545,0.00379745450167985,0.490221828249997,0,NA,0.509778171750003,50302,0.968854306882476,0.00105059259988837,0.0180023419460039,0.950348555982359,NA,NA,NA,NA,NA,NA
"4011",2012,30031,0.00819530524542726,0.00858401537564515,0.0053555617941132,0.482054548988274,0.000604660202561168,NA,0.517945451011726,52274,0.963029347614831,0.0043729889649513,0.0215086272053901,0.951378841211912,NA,NA,NA,NA,NA,NA
"4012",2013,30031,0.0177048141891892,0.011792652027027,0.000929054054054054,0.48628589527027,0.000644003378378378,NA,0.51371410472973,58809,0.975665118243243,0.00202702702702703,0.0155088682432432,0.951393581081081,0.0317252203966693,"Gallatin County, MT",10,94720,"Unreliable",4.1
"4013",2014,30031,0.00853989394499938,0.013205491840342,0.0042339787067867,0.479785834669297,0.000205532946931393,NA,0.520214165330703,50238,0.951596990997657,0.00157232704402516,0.0231224565297817,0.949120318987134,NA,NA,NA,NA,NA,NA
"4014",2015,30031,0.00822918631314585,0.0193271721974608,0.00291843278174292,0.488738224520791,0,NA,0.511261775479209,57535,0.960948589920488,0.0149296697406168,0.0157833609624872,0.938812178004546,NA,NA,NA,NA,NA,NA
"4015",2016,30031,0.0111863887772483,0.0139710244780004,0.00357887887313161,0.480832902719565,0,NA,0.519167097280435,61211,0.945895772329716,0,0.0212818893418308,0.949981818529789,NA,NA,NA,NA,NA,NA
"4016",2017,30031,0.0105834338187552,0.00985993878118913,0.00165105277803543,0.482246544847417,0.000129858083665708,NA,0.517753455152583,60901,0.971941378350802,0.0139319172618496,0.0254614599758835,0.938382339300621,NA,NA,NA,NA,NA,NA
"4017",2018,30031,0.00842897493653688,0.0176087811505595,0.00263684793878937,0.483249311737996,0,NA,0.516750688262004,68266,0.948871965390254,0.00515749579892023,0.0264042332582502,0.939763666916944,NA,NA,NA,NA,NA,NA
"4018",2019,30031,0.0110806228917979,0.0103028820105913,0.00897460544942937,0.4745180628135,0,NA,0.5254819371865,75418,0.957486411381233,0.0173986752189035,0.021366027579216,0.930877186850062,0.0341395121769992,"Gallatin County, MT",14,114434,"Unreliable",2.4
"4019",2005,48167,0.0032251923766849,0.0231730621389505,0.144716322182441,0.508906802556725,0.000798061223742687,NA,0.491093197443275,44729,0.897061084631098,0.0510466316691194,0.0193255284409984,0.757715201968063,0.0740853486462132,"Galveston County, TX",53,274806,"19.3",5.8
"4020",2006,48167,0.00491269648140899,0.0288307923442344,0.138539451456704,0.508585757059577,0.00506434468578845,NA,0.491414242940423,52993,0.888838339487429,0.0703541867247867,0.020521881425211,0.731776646881866,0.080164844356558,"Galveston County, TX",60,279182,"21.5",5.2
"4021",2007,48167,0.0023909545155236,0.0277407064407878,0.143728410103279,0.507980999130242,0.000341564930789085,NA,0.492019000869758,52277,0.882350248426865,0.0430266174155859,0.020152330916556,0.762619415677478,0.0793086476618493,"Galveston County, TX",64,283770,"22.6",4.6
"4022",2008,48167,0.00884682503061695,0.0283341255000191,0.141493690999483,0.507120826813859,0.000277547451940924,NA,0.492879173186141,59230,0.895257060980645,0.0245109093495329,0.0171177390984565,0.779419162569951,0.0752666875960954,"Galveston County, TX",47,288643,"16.3",5.7
"4023",2009,48167,0.00446630917598165,0.0288096118041658,0.140362743799117,0.510271465130712,0.000665936809221307,NA,0.489728534869288,56563,0.887704226432461,0.0313827079570732,0.0165647423068609,0.77774794814758,0.0718180281327887,"Galveston County, TX",44,287428,"15.3",8.2
"4024",2010,48167,0.000772367031547434,0.0274634578120141,0.142371850297498,0.505428783316872,0,NA,0.494571216683128,58324,0.896543828411487,0.0177951997047234,0.0201533114382089,0.791443813716008,0.0685439541712569,"Galveston County, TX",57,291309,"19.6",9.2
"4025",2011,48167,0.0034860877709664,0.0319394617696883,0.13921696585257,0.504495396403007,0.00048690265666262,NA,0.495504603596993,59020,0.893060622762023,0.0174169137810358,0.016838716876249,0.790614951292828,0.069180571509512,"Galveston County, TX",48,295747,"16.2",9.1
"4026",2012,48167,0.0026523874815298,0.0317354667802612,0.136622915030418,0.503298012539769,0,NA,0.496701987460231,60551,0.893152380825601,0.0232824376672302,0.025149425593376,0.780557367447185,0.0685896339023031,"Galveston County, TX",40,300484,"13.3",7.6
"4027",2013,48167,0.00215136481279866,0.0359538695229837,0.132357830641954,0.502441473098161,7.82314477381333e-05,NA,0.497558526901839,60869,0.887170694499677,0.0222340293759086,0.0282545912080891,0.778970082990528,0.0684401645186722,"Galveston County, TX",41,306782,"13.4",6.9
"4028",2014,48167,0.00254298245055666,0.034344585261523,0.13058326278334,0.507212012807211,0,NA,0.492787987192789,57991,0.886721112164941,0.0253056989541627,0.0312096194119632,0.776013851138454,0.0718869135720775,"Galveston County, TX",47,314198,"15.0",5.7
"4029",2015,48167,0.00427030801458608,0.0268942509116301,0.128410272325239,0.505755295212972,0.00039103111180076,NA,0.494244704787028,69190,0.893965396850027,0.0297338816044689,0.0362138257428815,0.774086430289394,0.0748298053218391,"Galveston County, TX",54,322225,"16.8",5
"4030",2016,48167,0.00775883265387896,0.0346597618317645,0.131903190652974,0.506579526516934,0.00026409172178696,NA,0.493420473483066,64939,0.88114658304774,0.0222110244633929,0.0194456502272099,0.783757448448992,0.0563846338337829,"Galveston County, TX",51,329431,"15.5",5.3
"4031",2017,48167,0.00436072541458231,0.0371422772478181,0.126499838823291,0.506482885421268,0.00077902076194797,NA,0.493517114578732,70494,0.882824532289067,0.0132045511527119,0.0290416552251101,0.788971931374539,0.0583935208855753,"Galveston County, TX",55,335036,"16.4",5.3
"4032",2018,48167,0.00268134600017757,0.032513539909438,0.124602681346,0.506499156530232,0.0030690461392761,NA,0.493500843469768,73840,0.891594897747788,0.0188345319482672,0.0338482938234337,0.784450560833407,0.0584167374723991,"Galveston County, TX",58,337890,"17.2",4.7
"4033",2019,48167,0.00216286363144804,0.0340592566179243,0.12517427127571,0.511420796810653,0.000295201657805746,NA,0.488579203189347,74977,0.867767194035173,0.0158385919173202,0.027667117750388,0.794802697149404,0.0526406243979539,"Galveston County, TX",57,342139,"16.7",4
"4034",2005,5051,0.0079070781982768,0.00860508234267641,0.0718398952993783,0.514418148107754,0,NA,0.485581851892246,31986,0.964859853855382,0.0272766932053659,0.0159559384883848,0.868415312465918,0.055096722427488,"Garland County, AR",15,92096,"Unreliable",5.7
